Zip,Latitude,Longitude
19939,38.571927,-75.242441
19952,38.921424,-75.628425
19966,38.579422,-75.277196
20002,38.905026,-76.983607
20012,38.976873,-77.032609
20037,38.898889,-77.055456
20111,38.748968,-77.427873
20130,39.039434,-77.943893
20148,38.996443,-77.520545
20171,38.92378,-77.396546
20194,38.981041,-77.340785
20307,38.974966,-77.030471
20520,38.894759,-77.048407
20602,38.583248,-76.894703
20616,38.661948,-77.098458
20626,38.230601,-76.771637
20645,38.294242,-76.911096
20667,38.215237,-76.447756
20686,38.178004,-76.429574
20706,38.96588,-76.851092
20721,38.915222,-76.785129
20742,38.989619,-76.945695
20758,38.733371,-76.593148
20776,38.872325,-76.572429
20812,38.967041,-77.143881
20839,39.188306,-77.434971
20861,39.148683,-76.999096
20879,39.167298,-77.164147
20904,39.066616,-76.980935
21013,39.51149,-76.4908
21035,38.9383,-76.626588
21048,39.488125,-76.915075
21071,39.481658,-76.810955
21090,39.20848,-76.672535
21120,39.646204,-76.674854
21146,39.079136,-76.558699
21162,39.390116,-76.405582
21210,39.359156,-76.632685
21220,39.34728,-76.39008
21230,39.266127,-76.623807
21252,39.39379,-76.607819
21522,39.610243,-79.227753
21540,39.478153,-79.062454
21601,38.794222,-76.081027
21624,38.844673,-76.269891
21636,39.025292,-75.802806
21649,39.132893,-75.770684
21660,38.95575,-75.890107
21671,38.695574,-76.335128
21703,39.367031,-77.473482
21719,39.707956,-77.494228
21746,39.565064,-77.711467
21769,39.442464,-77.568908
21781,39.571073,-77.759648
21795,39.580609,-77.823698
21817,37.981025,-75.836069
21840,38.248736,-75.900009
21863,38.187913,-75.399041
21890,38.157317,-75.704343
21916,39.641288,-75.861562
22026,38.560041,-77.296214
22043,38.900858,-77.19588
22134,38.521701,-77.385053
22191,38.622914,-77.262938
22209,38.895023,-77.075464
22307,38.771996,-77.057275
22406,38.399721,-77.54673
22443,38.169514,-76.986805
22488,38.049455,-76.587481
22534,38.077216,-77.672105
22556,38.468925,-77.515244
22603,39.269354,-78.21327
22639,38.813779,-78.019064
22654,38.988129,-78.572379
22712,38.564008,-77.757247
22724,38.614645,-77.893981
22735,38.476898,-78.174226
